X(E/m),Y(N/m),direction
332259.49,4128607.65,1
332257.78,4128608.30,1
332256.07,4128608.95,1
332254.36,4128609.60,1
332252.65,4128610.25,1
332250.94,4128610.89,1
332249.23,4128611.54,1
332247.52,4128612.19,1
332245.81,4128612.84,1
332244.10,4128613.49,1
332242.39,4128614.14,1
332240.68,4128614.78,1
332238.97,4128615.43,1
332237.26,4128616.08,1
332235.55,4128616.73,1
332233.84,4128617.38,1
332232.13,4128618.03,1
332230.42,4128618.68,1
332228.71,4128619.32,1
332227.00,4128619.97,1
332225.29,4128620.62,1
332223.58,4128621.27,1
332221.87,4128621.92,1
332220.16,4128622.57,1
332218.45,4128623.22,1
332216.74,4128623.86,1
332215.03,4128624.51,1
332213.32,4128625.16,1
332211.61,4128625.81,1
332209.90,4128626.46,1
332208.19,4128627.10,1
332206.42,4128627.75,1
332205.09,4128627.59,1
332203.76,4128627.44,1
332202.42,4128627.28,1
332201.09,4128627.13,1
332199.76,4128626.97,1
332198.675777,4128626.415447,1
332197.591554,4128625.860894,1
332196.507331,4128625.306341,1
332195.423108,4128624.751789,1

332194.3388863057,4128624.197236966,1
332193.2007758092,4128623.165532434,1
332192.47179308126,4128622.1922350936,1
332191.4262880306,4128620.470479988,1
332190.49314062344,4128618.602175812,1
332189.5865881663,4128616.7333391616,1
332188.80414694827,4128614.862017277,1
332188.20676194044,4128612.931489992,1
332187.94316298526,4128611.2828771663,1
332187.9245216295,4128610.7948530014,1
332188.09109199245,4128608.926727149,1
332188.5211721264,4128606.931225187,1
332189.1203787349,4128605.409634041,1
332189.6458206606,4128604.633216183,1
332190.1072293718,4128604.20217881,1
332190.47489884746,4128603.9617175697,1
332192.19999949145,4128602.8615788105,1
332193.99713250843,4128601.815497747,1
332195.8164397403,4128600.990971909,1
332197.6982475776,4128600.1873948704,1
332198.3963711809,4128600.062416428,1
332199.10602598987,4128600.070406443,1
332199.67606041324,4128600.192191621,1
332200.7930885199,4128600.6138224993,1
332201.5111856733,4128601.043441429,1
332202.06240047,4128601.5541015295,1
332202.6818917778,4128602.3741928977,1
332203.3370871658,4128603.6486669774,1
332204.2259074249,4128605.5178600335,1
332205.13156890275,4128607.3423161954,1
332205.9674198611,4128609.223669945,1
332206.8103369244,4128610.572085121,1
332207.3795031959,4128611.0934860297,1
332207.9542021066,4128611.4482770856,1
332208.7585053955,4128611.754071153,1
332209.60491262673,4128611.948022868,1
332210.2966139781,4128611.945273304,1
332211.57805725565,4128611.719816988,1
332212.8552796617,4128611.2835465134,1
332214.7078253617,4128610.3473598417,1
332216.5264660249,4128609.489552016,1
332218.4248931327,4128608.630147176,1
332220.1457960296,4128607.763197077,1
332221.94204253773,4128606.672740113,1
332222.87439443707,4128605.843778041,1
332223.5835634229,4128604.941584784,1
332224.09458985867,4128603.887959379,1
332224.39329766086,4128602.860784637,1
332224.46462215367,4128601.9935614048,1
332224.43645140145,4128601.4724282473,1
332224.2788375255,4128600.687488072,1
332223.8133671753,4128599.586813135,1
332223.04113042395,4128597.781883777,1
332222.2675605217,4128595.910381531,1
332221.47648216865,4128594.0503298175,1
332220.1689628662,4128591.201623269,1
332219.2358192676,4128589.333316083,1
332218.3988589861,4128587.396483639,1
332217.6705015519,4128585.56847629,1
332216.87786632706,4128583.6307565263,1
332216.1404209918,4128581.791831299,1
332215.36484897137,4128579.820470202,1
332214.61876002105,4128577.992818082,1
332213.80019447603,4128576.088917541,1
332212.9920488022,4128574.2625080193,1
332212.13779978873,4128572.3482221183,1
332211.3786444722,4128570.753930581,1
332210.57160860253,4128568.98299873,1
332209.7528192369,4128567.0680030566,1
332209.02401413594,4128565.217805406,1
332208.22339875565,4128563.324645849,1
332207.3709249642,4128561.499124323,1
332206.43888642336,4128559.68629589,1
332205.55430484755,4128558.471914093,1
332204.7506416764,4128557.755409476,1
332203.84326220315,4128557.174180895,1
332202.68987929047,4128556.7088775006,1
332201.6482103298,4128556.507735977,1
332200.6016751317,4128556.506490939,1
332199.0990384321,4128556.758577368,1
332197.8754435133,4128557.215975555,1
332196.9734389299,4128557.789033884,1
332196.25938052265,4128558.4471284687,1
332195.6200205683,4128559.2924263705,1
332195.253259377,4128560.021266457,1
332194.9556640382,4128561.103919703,1
332194.84445955337,4128562.193940641,1
332194.9373761903,4128563.290974232,1
332195.24372338515,4128564.417033951,1
332196.10506480007,4128566.2423768193,1
332196.9579850472,4128568.090088265,1
332197.4846712956,4128570.0331316767,1
332197.5975396134,4128571.240765192,1
332197.49297846097,4128572.21965367,1
332197.20424854965,4128573.3021293487,1
332196.3630342202,4128575.139363877,1
332195.760024976,4128576.028333747,1
332195.06503168255,4128576.752646432,1
332194.1213698168,4128577.459738646,1
332192.8652059309,4128578.062089157,1
332191.78921159497,4128578.361133677,1
332189.90337778296,4128578.5209957887,1
