X(E/m),Y(N/m)
330180.181464354624040,4156655.072801944334060
330180.190072872559540,4156655.061525293625891
330180.198908308171667,4156655.061344607267529
330180.216352259623818,4156655.049887268338352
330180.234250041714404,4156655.060621858574450
330180.225868439010810,4156655.082994474563748
330180.234703872352839,4156655.082813787739724
330180.235157703049481,4156655.105005715973675
330180.235611533746123,4156655.127197646070272
330180.227229931042530,4156655.149570261128247
330180.227456846390851,4156655.160666227340698
330180.218621413165238,4156655.160846914164722
330180.227229931042530,4156655.149570261128247
330180.244900797610171,4156655.149208887945861
330180.244673882261850,4156655.138112923596054
330180.253509315662086,4156655.137932236306369
330180.262344748887699,4156655.137751549482346
330180.262571664177813,4156655.148847513366491
330180.271634012751747,4156655.159762793220580
330180.280469446093775,4156655.159582105930895
330180.289531794493087,4156655.170497382991016
330180.289758709841408,4156655.181593348272145
330180.280923276557587,4156655.181774034164846
330180.272087843331974,4156655.181954721920192
330180.263025494758040,4156655.171039443928748
330180.263025494758040,4156655.171039443928748
330180.272087843331974,4156655.181954721920192
330180.280923276557587,4156655.181774034164846
330180.290439455595333,4156655.214881240855902
330180.309698730939999,4156655.292191619519144
330180.330092579883058,4156655.424981819931418
330180.342785571585409,4156655.613432530313730
330180.373830173746683,4156655.834809762891382
330180.414617870002985,4156656.100390163715929
330180.464467909070663,4156656.376885844394565
330180.523607209557667,4156656.675392769277096
330180.565075641614385,4156656.974261065013707
330180.623761103663128,4156657.250576059333980
330180.673838048940524,4156657.538167705759406
330180.750421280390583,4156657.825217293109745
330180.809106734523084,4156658.101532287895679
330180.868019097950310,4156658.388943248894066
330180.918096030771267,4156658.676534897647798
330180.977008387853857,4156658.963945860043168
330181.035240000113845,4156659.218068927526474
330181.094379265152384,4156659.516575854271650
330181.136528413568158,4156659.848732048179954
330181.178223733033519,4156660.158696312922984
330181.219919047958683,4156660.468660577200353
330181.261614360730164,4156660.778624843806028
330181.311918186023831,4156661.077312456443906
330181.362448922765907,4156661.387096037622541
330181.412525825900957,4156661.674687686376274
330181.489335920661688,4156661.972833246458322
330181.557537496963050,4156662.282255454454571
330181.625739071227144,4156662.591677665244788
330181.703002977883443,4156662.912015154492110
330181.762369118630886,4156663.221618050243706
330181.839633018244058,4156663.541955540888011
330181.898999148863368,4156663.851558438036591
330181.923023581388406,4156664.161884077824652
330181.947274926817045,4156664.483305681962520
330181.980134782730602,4156664.793450636323541
330182.030665480066091,4156665.103234219364822
330182.072360752266832,4156665.413198488764465
330182.123118359944783,4156665.734078038949519
330182.165040540741757,4156666.055138273164630
330182.215798142831773,4156666.376017821952701
330182.274937333655544,4156666.674524759408087
330182.334303436684422,4156666.984127658884972
330182.375998693343718,4156667.294091931544244
330182.408858527778648,4156667.604236886370927
330182.450326869147830,4156667.903105193283409
330182.492475945968181,4156668.235261393245310
330182.516727269394323,4156668.556683001108468
330182.532370086526498,4156668.889381256885827
330182.538950571906753,4156669.211164234206080
330182.562974980217405,4156669.521489877253771
330182.595834807376377,4156669.831634834874421
330182.620086126611568,4156670.153056440874934
330182.646379664423876,4156670.574341730680317
330182.681508617359214,4156670.995446337386966
