X(E/m),Y(N/m)
332256.1503887611,4128607.2088576057
332256.1503887611,4128607.2088576057
332256.1415236378,4128607.2090350566
332256.1326585168,4128607.209212509
332256.1326585168,4128607.209212509
332256.1415236378,4128607.2090350566
332256.15016666445,4128607.197762115
332256.1678969064,4128607.197407211
332256.17676202743,4128607.197229759
332256.1856271484,4128607.197052308
332256.194714366,4128607.2079703477
332256.194714366,4128607.2079703477
332256.194714366,4128607.2079703477
332256.18584924506,4128607.2081477996
332256.1856271484,4128607.197052308
332256.17653993086,4128607.186134267
332256.17653993086,4128607.186134267
332256.18518295535,4128607.174861324
332256.18518295535,4128607.174861324
332256.18518295535,4128607.174861324
332256.19404807634,4128607.1746838726
332256.18540505186,4128607.1859568157
332256.17653993086,4128607.186134267
332256.17653993086,4128607.186134267
332256.17653993086,4128607.186134267
332256.16745271324,4128607.1752162273
332256.16745271324,4128607.1752162273
332256.16745271324,4128607.1752162273
332256.14972247125,4128607.1755711306
332256.1315480337,4128607.153735051
332256.123127106,4128607.176103485
332256.1056189606,4128607.1875538807
332256.1229050093,4128607.165007994
332256.1317701303,4128607.164830542
332256.1408573479,4128607.1757485815
332256.1499445678,4128607.1866666223
332256.15903178544,4128607.197584662
332256.15016666445,4128607.197762115
332256.14130154124,4128607.197939566
332256.1324364202,4128607.198117018
332256.1410794446,4128607.1868440737
332256.1408573479,4128607.1757485815
332256.1406352513,4128607.16465309
332256.1406352513,4128607.16465309
332256.14041315473,4128607.153557599
332256.1490561814,4128607.142284657
332256.16700852005,4128607.153025244
332256.1756515446,4128607.1417523026
332256.1754294481,4128607.130656809
332256.1754294481,4128607.130656809
332256.16678642354,4128607.1419297536
332256.16700852005,4128607.153025244
332256.1583654956,4128607.164298187
332256.1408573479,4128607.1757485815
332256.1324364202,4128607.198117018
332256.1240154925,4128607.2204854507
332256.1155945648,4128607.242853886
332256.1158166615,4128607.253949379
332256.1160387582,4128607.26504487
332256.098530613,4128607.2764952653
332256.0983085163,4128607.265399773
332256.0892212987,4128607.254481734
332256.0892212987,4128607.254481734
332256.09786432295,4128607.2432087893
332256.0887771053,4128607.2322907504
332256.08855500864,4128607.2211952573
332256.0887771053,4128607.2322907504
332256.0799119844,4128607.232468202
332256.07104686345,4128607.232645653
332256.07968988764,4128607.2213727096
332256.0799119844,4128607.232468202
332256.088999202,4128607.243386241
332256.0980864197,4128607.2543042824
332256.10695154057,4128607.254126831
332256.1160387582,4128607.26504487
332256.1162608549,4128607.2761403616
332256.1162608549,4128607.2761403616
332256.11670504813,4128607.2983313445
332256.12557016907,4128607.298153892
332256.12557016907,4128607.298153892
332256.12557016907,4128607.298153892
332256.12579226564,4128607.3092493843
332256.1346573865,4128607.309071933
332256.12579226564,4128607.3092493843
332256.1260143623,4128607.320344876
332256.10828412056,4128607.32069978
332256.1080620239,4128607.3096042876
332256.1080620239,4128607.3096042876
332256.0989748064,4128607.2986862483
332256.0987527097,4128607.2875907556
332256.0989748064,4128607.2986862483
332256.08988758875,4128607.287768207
332256.08988758875,4128607.287768207
332256.08988758875,4128607.287768207
332256.08988758875,4128607.287768207
332256.0987527097,4128607.2875907556
332256.0987527097,4128607.2875907556
332256.1162608549,4128607.2761403616
332256.1251259758,4128607.275962909
332256.1335469034,4128607.253594476
332256.1335469034,4128607.253594476
332256.1333248067,4128607.242498983
332256.1333248067,4128607.242498983
332256.1331027101,4128607.2314034915
332256.12423758913,4128607.2315809424
332256.12445968576,4128607.2426764346
332256.1333248067,4128607.242498983
332256.1335469034,4128607.253594476
332256.1335469034,4128607.253594476
332256.12468178244,4128607.2537719267
332256.1251259758,4128607.275962909
332256.1251259758,4128607.275962909
332256.1162608549,4128607.2761403616
332256.1160387582,4128607.26504487
332256.1251259758,4128607.275962909
332256.12490387907,4128607.2648674175
332256.13376900007,4128607.2646899666
332256.12490387907,4128607.2648674175
332256.1158166615,4128607.253949379
332256.1158166615,4128607.253949379
332256.10695154057,4128607.254126831
332256.0980864197,4128607.2543042824
332256.0453398875,4128607.277559975
332255.9748631117,4128607.301170573
332255.8957433123,4128607.3360541137
332255.82526653726,4128607.359664713
332255.7636548858,4128607.38309786
332255.7111304503,4128607.4174490487
332255.64065367635,4128607.441059648
332255.56995480787,4128607.4535747585
332255.49925593706,4128607.466089868
332255.4285570666,4128607.478604979
332255.3758105376,4128607.5018606763
332255.3051116697,4128607.5143757877
332255.23485699546,4128607.549081884
332255.1557372012,4128607.583965432
332255.08570462617,4128607.6297670207
332255.00658483326,4128607.664650571
332254.91837782436,4128607.6886160825
332254.8392580326,4128607.7234996343
332254.75149521953,4128607.7696561324
332254.6455579693,4128607.7939765533
332254.5575730592,4128607.8290375625
332254.46050093276,4128607.853180533
332254.36342880235,4128607.877323505
332254.2663566747,4128607.9014664777
332254.1872368896,4128607.936350036
332254.09925198276,4128607.971411049
332253.993536836,4128608.0068269707
332253.8966868104,4128608.0420654397
332253.79983678553,4128608.0773039097
332253.71207398135,4128608.1234604185
332253.6327320982,4128608.1472484902
332253.53610417794,4128608.1935824556
332253.35104715463,4128608.252786459
332253.25397503364,4128608.2769294437
332253.1659901337,4128608.311990467
332253.0870924552,4128608.357969527
332252.9902424369,4128608.393208007
332252.88474940066,4128608.439719434
332252.7969866072,4128608.4858759535
332252.6912714718,4128608.5212918916
332252.5944214546,4128608.556530377
332252.5155237836,4128608.6025094423
332252.41867377027,4128608.6377479294
332252.33046677546,4128608.6617134684
332252.2333946616,4128608.6858564666
332252.12767953076,4128608.7212724113
332252.0219644008,4128608.7566883597
332251.91624927154,4128608.7921043076
332251.80189112626,4128608.8387932065
332251.7054853235,4128608.8962226836
332251.5909050779,4128608.931816092
332251.49405507185,4128608.967054592
332251.40651439177,4128609.0243066163
332251.31875160965,4128609.0704631493
332251.2307667253,4128609.105524195
332251.15164696076,4128609.140407782
332251.0459318396,4128609.1758237425
332250.85178763256,4128609.2241097684
332250.7549376326,4128609.259348275
332250.64922251436,4128609.294764239
332250.54350739694,4128609.330180206
332250.42892716144,4128609.365773631
332250.3234341502,4128609.412285092
332250.2270283636,4128609.469714588
332250.1392655922,4128609.515871135
332250.0512807169,4128609.550932192
332249.95420861867,4128609.575075215
332249.8482714022,4128609.599395699
332249.74211208103,4128609.6126206927
332249.64548419503,4128609.6589547037
332249.5397690859,4128609.6943706833
332249.45200632035,4128609.740527238
332249.35515633144,4128609.7757657617
332249.24966333073,4128609.822277236
332249.1439482251,4128609.8576932205
332249.04709824093,4128609.892931747
332248.96797849203,4128609.9278153544
332248.86204128223,4128609.952135851
332248.7736122032,4128609.965005939
332248.66745288763,4128609.9782309467
332248.56173778605,4128610.0136469374
332248.4558005783,4128610.0379674397
332248.3678157148,4128610.0730285137
332248.2621006154,4128610.1084445105
332248.1566076244,4128610.154956
332248.050892527,4128610.190371997
332247.9453995379,4128610.236883488
