X(E/m),Y(N/m)
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9184494979,4128604.1477346555
332254.9184494979,4128604.1477346555
332254.9184494979,4128604.1477346555
332254.9273146199,4128604.1475572023
332254.9273146199,4128604.1475572023
332254.9184494979,4128604.1477346555
332254.9184494979,4128604.1477346555
332254.9273146199,4128604.1475572023
332254.9273146199,4128604.1475572023
332254.9184494979,4128604.1477346555
332254.9273146199,4128604.1475572023
332254.9273146199,4128604.1475572023
332254.9273146199,4128604.1475572023
332254.9273146199,4128604.1475572023
332254.9273146199,4128604.1475572023
332254.9273146199,4128604.1475572023
332254.9273146199,4128604.1475572023
332254.9273146199,4128604.1475572023
332254.9273146199,4128604.1475572023
332254.9273146199,4128604.1475572023
332254.9273146199,4128604.1475572023
332254.91822739993,4128604.136639165
332254.91822739993,4128604.136639165
332254.91822739993,4128604.136639165
332254.91822739993,4128604.136639165
332254.91822739993,4128604.136639165
332254.91800530185,4128604.1255436726
332254.91822739993,4128604.136639165
332254.91822739993,4128604.136639165
332254.91822739993,4128604.136639165
332254.91800530185,4128604.1255436726
332254.91800530185,4128604.1255436726
332254.91822739993,4128604.136639165
332254.91800530185,4128604.1255436726
332254.91800530185,4128604.1255436726
332254.91800530185,4128604.1255436726
332254.91800530185,4128604.1255436726
332254.91822739993,4128604.136639165
332254.91822739993,4128604.136639165
332254.91800530185,4128604.1255436726
332254.91822739993,4128604.136639165
332254.91822739993,4128604.136639165
332254.91800530185,4128604.1255436726
332254.91800530185,4128604.1255436726
332254.9268704239,4128604.1253662193
332254.91822739993,4128604.136639165
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9268704239,4128604.1253662193
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.91822739993,4128604.136639165
332254.91822739993,4128604.136639165
332254.91822739993,4128604.136639165
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.91822739993,4128604.136639165
332254.91822739993,4128604.136639165
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9270925219,4128604.1364617124
332254.9359576462,4128604.136284259
332254.9359576462,4128604.136284259
332254.9359576462,4128604.136284259
332254.9359576462,4128604.136284259
332254.9359576462,4128604.136284259
332254.9359576462,4128604.136284259
332254.9359576462,4128604.136284259
332254.9359576462,4128604.136284259
332254.93617974414,4128604.147379751
332254.93617974414,4128604.147379751
332254.93617974414,4128604.147379751
332254.93617974414,4128604.147379751
332254.93617974414,4128604.147379751
332254.93617974414,4128604.147379751
332254.9273146199,4128604.1475572023
332254.9359576462,4128604.136284259
332254.9359576462,4128604.136284259
332254.9273146199,4128604.1475572023
332254.9359576462,4128604.136284259
332254.93617974414,4128604.147379751
332254.93617974414,4128604.147379751
332254.9359576462,4128604.136284259
332254.93617974414,4128604.147379751
332254.93617974414,4128604.147379751
332254.9359576462,4128604.136284259
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9093622734,4128604.1368166185
332254.9091401753,4128604.1257211254
332254.91822739993,4128604.136639165
332254.9175611058,4128604.10335269
332254.9168948118,4128604.070066215
332254.9248715419,4128604.0255067963
332254.9598878458,4128604.002606002
332254.9951262456,4128603.990800699
332255.0217216211,4128603.9902683413
332255.04831699433,4128603.989735984
332255.03967396554,4128604.001008927
